File Size (bytes),Encryption Time (s),Decryption Time (s)
712191,0.0008799999486654997,0.0010049999691545963
2244248,0.0021723000099882483,0.0022751999786123633
11165823,0.01072390004992485,0.011556299985386431
17270815,0.022361700073815882,0.021088200039230287
49352493,0.07386530004441738,0.06885010004043579
